id,related
Ah2,
Ab8,
Ah20,
Ah21,
Ah22,
Ah23,
Ah24,
Ah25,
Ah26,
Ah27,
Ah28,
Ah29,
Ab9,
Ah3,SCCS: Tiv [SCCS16]
Ah30,
Ah31,
Ah32,
Ah33,
Ah34,
Ah35,
Ah36,
Ah37,
Ah38,
Ac1,
Ah39,
Ah4,
Ah5,
Ah6,
Ah7,
Ah8,
Ah9,
Ai1,
Ai10,SCCS: Otoro [SCCS30]
Ai11,
Ac10,
Ai12,
Ai13,
Ai14,
Ai15,
Ai16,
Ai17,
Ai18,
Ai19,
Ai2,
Ai20,
Ac11,
Ai21,
Ai22,
Ai23,
Ai24,
Ai25,
Ai26,
Ai27,
Ai28,
Ai29,
Ai3,SCCS: Azande [SCCS28]
Ac12,
Ai30,
Ai31,
Ai32,
Ai33,
Ai34,
Ai35,
Ai36,
Ai37,
Ai38,
Ai39,
Ac13,
Ai4,
Ai40,
Ai41,
Ai42,
Ai43,
Ai44,
Ai45,
Ai46,
Ai47,SCCS: Mao [SCCS32]
Ai5,
Ac14,
Ai6,SCCS: Shilluk [SCCS31]
Ai7,
Ai8,
Ai9,SCCS: Masa [SCCS27]
Aj1,
Aj10,
Aj11,
Aj12,
Aj13,
Aj14,
Ac15,
Aj15,
Aj16,
Aj17,
Aj18,
Aj19,
Aj2,SCCS: Masai [SCCS34]
Aj20,
Aj21,
Aj22,
Aj23,
Aa4,
Ac16,
Aj24,
Aj25,
Aj26,
Aj27,
Aj28,
Aj29,
Aj3,
Aj30,
Aj31,
Aj4,
Ac17,SCCS: Suku [SCCS6]
Aj5,
Aj6,
Aj7,
Aj8,
Aj9,
Ca1,SCCS: Konso [SCCS35]
Ca10,
Ca11,
Ca12,
Ca13,
Ac18,
Ca14,
Ca15,
Ca16,
Ca17,
Ca18,
Ca19,
Ca2,SCCS: Somali [SCCS36]
Ca20,
Ca21,
Ca22,
Ac19,
Ca23,
Ca24,
Ca25,
Ca26,
Ca27,
Ca28,
Ca29,
Ca3,
Ca30,SCCS: Kafa [SCCS33]
Ca31,
Ac2,
Ca32,
Ca33,
Ca34,
Ca35,
Ca36,
Ca37,SCCS: Bogo [SCCS38]
Ca38,
Ca39,
Ca4,
Ca40,
Ac20,
Ca41,
Ca42,
Ca43,
Ca5,
Ca6,
Ca7,SCCS: Amhara [SCCS37]
Ca8,
Ca9,
Cb1,
Cb10,
Ac21,
Cb11,
Cb12,
Cb13,
Cb14,
Cb15,
Cb16,
Cb17,SCCS: Fur [SCCS29]
Cb18,
Cb19,
Cb2,SCCS: Wolof [SCCS21]
Ac22,
Cb20,
Cb21,
Cb22,
Cb23,
Cb24,SCCS: Pastoral Fulani [SCCS25]
Cb25,
Cb26,SCCS: Hausa [SCCS26]
Cb27,
Cb28,
Cb29,
Ac23,
Cb3,SCCS: Songhai [SCCS24]
Cb4,
Cb5,
Cb6,
Cb7,
Cb8,
Cb9,
Cc1,
Cc10,
Cc11,
Ac24,
Cc12,
Cc13,
Cc14,
Cc15,
Cc16,
Cc17,
Cc18,
Cc19,
Cc2,SCCS: Teda [SCCS40]
Cc20,
Aa5,Binford: Mbuti [B65]; SCCS: Mbuti [SCCS13]
Ac25,
Cc3,
Cc4,
Cc5,
Cc6,
Cc7,
Cc8,
Cc9,SCCS: Tuareg [SCCS41]
Cd1,SCCS: Kenuzi Nubians [SCCS39]
Cd10,
Cd11,
Ac26,
Cd12,
Cd13,
Cd14,
Cd15,
Cd16,
Cd17,
Cd18,
Cd19,
Cd2,SCCS: Egyptians [SCCS43]
Cd20,
Ac27,
Cd21,
Cd3,SCCS: Riffians [SCCS42]
Cd4,
Cd5,
Cd6,
Cd7,
Cd8,
Cd9,
Ce1,SCCS: Gheg Albanians [SCCS48]
Ce2,
Ac28,
Ce3,SCCS: Romans [SCCS49]
Ce4,
Ce5,
Ce6,
Ce7,
