id,xd_id,pref_name_for_society,glottocode,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_link,origLat,origLong,Lat,Long,Comment,glottocode_comment
WNAI137,xd1202,Hualapai,wala1270,Walapai (J137),Walapai,NA,,,35.3,114,35.3,-114,Original,
WNAI138,xd1203,Yavapai (Northeast),yava1252,Northeast Yavapai (J138),"Apache-Mojave, Northeast Yavapai",NA,,,34.6,112.2,34.6,-112.2,Original,
WNAI139,xd1203,Yavapai (Southeast),yava1252,Southeast Yavapai (J139),"Apache-Mojave, Southeast Yavapai",NA,,,33.7,111.5,33.7,-111.5,Original,
WNAI140,xd1272,Mojave,moha1256,Mohave (J140),Mohave,NA,Mohave (NT28),in process,34.5,114.5,34.5,-114.5,Original,
WNAI141,xd1273,Quechan,quec1382,Yuma (J141),Yuma,NA,,,32.7,114.5,32.7,-114.5,Original,
WNAI142,xd1271,Kamia,kumi1248,Kamia (J142),,NA,,,32.5,115,32.5,-115,Original,"Note, previously kimi1238 but changed by non-KK DPLACE editor in early 2016 (before 8April2016)"
WNAI143,xd1269,Cocopa,coco1261,Cocopa (J143),Cocopah,NA,,,32,115,32,-115,Original,
WNAI144,xd1281,Maricopa,mari1440,Maricopa (J144),Piipash,NA,River (NT15),in process,33.3,112.5,33.3,-112.5,Original,
WNAI145,xd1291,Pima,akim1239,Pima (J145),Akimel O'Odham,NA,,,33.2,112,33.2,-112,Original,
WNAI146,xd1287,Tohono O'odham,toho1246,Papago (J146),Papago,NA,O'Odham (NU79),http://ehrafworldcultures.yale.edu/collection?owc=NU79,32,112,32,-112,Original,
WNAI147,xd1267,Western Apache (North Tonto),west2615,North Tonto Western Apache (J147),"Ndee, Western Apache, North Tonto Western Apache",NA,Western (NT21),http://ehrafworldcultures.yale.edu/collection?owc=NT21,35,111.8,35,-111.8,Original,
WNAI148,xd1267,Western Apache (South Tonto),west2615,South Tonto Western Apache (J148),"Ndee, Western Apache, South Tonto Western Apache",NA,Western (NT21),http://ehrafworldcultures.yale.edu/collection?owc=NT21,34,111.2,34,-111.2,Original,
